trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
1_North_Mall_Area_Weekday_T01,06:00:00,06:00:00,101,1,7th E. of Columbia (Freedom Village),,,,,,1
1_North_Mall_Area_Weekday_T01,06:01:00,06:01:00,102,2,7th W. of College,,,,,,1
1_North_Mall_Area_Weekday_T01,06:01:30,06:01:30,103,3,River N. of 7th,,,,,,1
1_North_Mall_Area_Weekday_T01,06:02:00,06:02:00,104,4,Douglas E. of River (D&W Store),,,,,,1
1_North_Mall_Area_Weekday_T01,06:05:00,06:05:00,105,5,Lakewood E. of Douglas (Railside Center),,,,,,1
1_North_Mall_Area_Weekday_T01,06:05:30,06:05:30,106,6,Beeline N. of Lakewood (KFC),,,,,,1
1_North_Mall_Area_Weekday_T01,06:06:00,06:06:00,107,7,Beeline S. of James (Raleigh Woods),,,,,,1
1_North_Mall_Area_Weekday_T01,06:07:00,06:07:00,108,8,James W. of Van Ommen (Windmill Mobile Park),,,,,,1
1_North_Mall_Area_Weekday_T01,06:08:00,06:08:00,109,9,James W. of Van Ommen (Walmart Plaza),,,,,,1
1_North_Mall_Area_Weekday_T01,06:10:00,06:10:00,110,10,Van Ommen Dr. N. of James (Aaron's Rent),,,,,,1
1_North_Mall_Area_Weekday_T01,06:11:00,06:11:00,111,11,Van Ommen Dr. S. of Felch,,,,,,1
1_North_Mall_Area_Weekday_T01,06:12:00,06:12:00,112,12,W. Shore Dr. N. of Felch,,,,,,1
1_North_Mall_Area_Weekday_T01,06:14:00,06:14:00,113,13,W. Shore Dr. S. of Riley (Across Belle Tire),,,,,,1
1_North_Mall_Area_Weekday_T01,06:15:00,06:15:00,114,14,W. Shore Dr. N. of Riley (N. End of Meijer),,,,,,1
1_North_Mall_Area_Weekday_T01,06:20:00,06:20:00,115,15,W. Shore Dr. S. of Greenly (N. End of Target),,,,,,1
1_North_Mall_Area_Weekday_T01,06:24:00,06:24:00,116,16,W. Shore Dr. S. of Greenly (AT&T),,,,,,1
1_North_Mall_Area_Weekday_T01,06:24:30,06:24:30,117,17,Laroc Rd. N. of Riley (McDonald's),,,,,,1
1_North_Mall_Area_Weekday_T01,06:25:00,06:25:00,118,18,Laroc Rd. E. of 128th,,,,,,1
1_North_Mall_Area_Weekday_T01,06:26:00,06:26:00,119,19,Bellwood E. of 128th,,,,,,1
1_North_Mall_Area_Weekday_T01,06:28:00,06:28:00,120,20,Beeline S. of Bellwood,,,,,,1
1_North_Mall_Area_Weekday_T01,06:29:00,06:29:00,121,21,Beeline N. of Felch,,,,,,1
1_North_Mall_Area_Weekday_T01,06:30:00,06:30:00,122,22,Felch E. of Beeline (Kragspough Court),,,,,,1
1_North_Mall_Area_Weekday_T01,06:31:00,06:31:00,123,23,Van Ommen Dr. S. of Felch (Discount Tire),,,,,,1
1_North_Mall_Area_Weekday_T01,06:33:00,06:33:00,124,24,Van Ommen Dr. N. of James,,,,,,1
1_North_Mall_Area_Weekday_T01,06:34:00,06:34:00,125,25,N. Park Dr. S. of James (Walmart Auto),,,,,,1
1_North_Mall_Area_Weekday_T01,06:40:00,06:40:00,126,26,N. Park Dr. N. of Lakewood (Am. Medical Response),,,,,,1
1_North_Mall_Area_Weekday_T01,06:41:00,06:41:00,127,27,Lakewood E. of US 31 (Spectrum Health),,,,,,1
1_North_Mall_Area_Weekday_T01,06:43:00,06:43:00,128,28,Chicago Dr. W. of 120th (Craig's Cruisers),,,,,,1
1_North_Mall_Area_Weekday_T01,06:46:00,06:46:00,129,29,Chicago Dr. & Spruce,,,,,,1
1_North_Mall_Area_Weekday_T01,06:47:00,06:47:00,130,30,Transfer Center,,,,,,1
1_North_Mall_Area_Weekday_T01,06:50:00,07:00:00,131,31,,,,,,,1
1_North_Mall_Area_Weekday_T02,07:00:00,07:00:00,101,1,7th E. of Columbia (Freedom Village),,,,,,1
1_North_Mall_Area_Weekday_T02,07:01:00,07:01:00,102,2,7th W. of College,,,,,,1
1_North_Mall_Area_Weekday_T02,07:01:30,07:01:30,103,3,River N. of 7th,,,,,,1
1_North_Mall_Area_Weekday_T02,07:02:00,07:02:00,104,4,Douglas E. of River (D&W Store),,,,,,1
1_North_Mall_Area_Weekday_T02,07:05:00,07:05:00,105,5,Lakewood E. of Douglas (Railside Center),,,,,,1
1_North_Mall_Area_Weekday_T02,07:05:30,07:05:30,106,6,Beeline N. of Lakewood (KFC),,,,,,1
1_North_Mall_Area_Weekday_T02,07:06:00,07:06:00,107,7,Beeline S. of James (Raleigh Woods),,,,,,1
1_North_Mall_Area_Weekday_T02,07:07:00,07:07:00,108,8,James W. of Van Ommen (Windmill Mobile Park),,,,,,1
1_North_Mall_Area_Weekday_T02,07:08:00,07:08:00,109,9,James W. of Van Ommen (Walmart Plaza),,,,,,1
1_North_Mall_Area_Weekday_T02,07:10:00,07:10:00,110,10,Van Ommen Dr. N. of James (Aaron's Rent),,,,,,1
1_North_Mall_Area_Weekday_T02,07:11:00,07:11:00,111,11,Van Ommen Dr. S. of Felch,,,,,,1
1_North_Mall_Area_Weekday_T02,07:12:00,07:12:00,112,12,W. Shore Dr. N. of Felch,,,,,,1
1_North_Mall_Area_Weekday_T02,07:14:00,07:14:00,113,13,W. Shore Dr. S. of Riley (Across Belle Tire),,,,,,1
1_North_Mall_Area_Weekday_T02,07:15:00,07:15:00,114,14,W. Shore Dr. N. of Riley (N. End of Meijer),,,,,,1
1_North_Mall_Area_Weekday_T02,07:20:00,07:20:00,115,15,W. Shore Dr. S. of Greenly (N. End of Target),,,,,,1
1_North_Mall_Area_Weekday_T02,07:24:00,07:24:00,116,16,W. Shore Dr. S. of Greenly (AT&T),,,,,,1
1_North_Mall_Area_Weekday_T02,07:24:30,07:24:30,117,17,Laroc Rd. N. of Riley (McDonald's),,,,,,1
1_North_Mall_Area_Weekday_T02,07:25:00,07:25:00,118,18,Laroc Rd. E. of 128th,,,,,,1
1_North_Mall_Area_Weekday_T02,07:26:00,07:26:00,119,19,Bellwood E. of 128th,,,,,,1
1_North_Mall_Area_Weekday_T02,07:28:00,07:28:00,120,20,Beeline S. of Bellwood,,,,,,1
1_North_Mall_Area_Weekday_T02,07:29:00,07:29:00,121,21,Beeline N. of Felch,,,,,,1
1_North_Mall_Area_Weekday_T02,07:30:00,07:30:00,122,22,Felch E. of Beeline (Kragspough Court),,,,,,1
1_North_Mall_Area_Weekday_T02,07:31:00,07:31:00,123,23,Van Ommen Dr. S. of Felch (Discount Tire),,,,,,1
1_North_Mall_Area_Weekday_T02,07:33:00,07:33:00,124,24,Van Ommen Dr. N. of James,,,,,,1
1_North_Mall_Area_Weekday_T02,07:34:00,07:34:00,125,25,N. Park Dr. S. of James (Walmart Auto),,,,,,1
1_North_Mall_Area_Weekday_T02,07:40:00,07:40:00,126,26,N. Park Dr. N. of Lakewood (Am. Medical Response),,,,,,1
1_North_Mall_Area_Weekday_T02,07:41:00,07:41:00,127,27,Lakewood E. of US 31 (Spectrum Health),,,,,,1
1_North_Mall_Area_Weekday_T02,07:43:00,07:43:00,128,28,Chicago Dr. W. of 120th (Craig's Cruisers),,,,,,1
1_North_Mall_Area_Weekday_T02,07:46:00,07:46:00,129,29,Chicago Dr. & Spruce,,,,,,1
1_North_Mall_Area_Weekday_T02,07:47:00,07:47:00,130,30,Transfer Center,,,,,,1
1_North_Mall_Area_Weekday_T02,07:50:00,08:00:00,131,31,,,,,,,1
1_North_Mall_Area_Weekday_T03,08:00:00,08:00:00,101,1,7th E. of Columbia (Freedom Village),,,,,,1
1_North_Mall_Area_Weekday_T03,08:01:00,08:01:00,102,2,7th W. of College,,,,,,1
1_North_Mall_Area_Weekday_T03,08:01:30,08:01:30,103,3,River N. of 7th,,,,,,1
1_North_Mall_Area_Weekday_T03,08:02:00,08:02:00,104,4,Douglas E. of River (D&W Store),,,,,,1
1_North_Mall_Area_Weekday_T03,08:05:00,08:05:00,105,5,Lakewood E. of Douglas (Railside Center),,,,,,1
1_North_Mall_Area_Weekday_T03,08:05:30,08:05:30,106,6,Beeline N. of Lakewood (KFC),,,,,,1
1_North_Mall_Area_Weekday_T03,08:06:00,08:06:00,107,7,Beeline S. of James (Raleigh Woods),,,,,,1
1_North_Mall_Area_Weekday_T03,08:07:00,08:07:00,108,8,James W. of Van Ommen (Windmill Mobile Park),,,,,,1
1_North_Mall_Area_Weekday_T03,08:08:00,08:08:00,109,9,James W. of Van Ommen (Walmart Plaza),,,,,,1
1_North_Mall_Area_Weekday_T03,08:10:00,08:10:00,110,10,Van Ommen Dr. N. of James (Aaron's Rent),,,,,,1
1_North_Mall_Area_Weekday_T03,08:11:00,08:11:00,111,11,Van Ommen Dr. S. of Felch,,,,,,1
1_North_Mall_Area_Weekday_T03,08:12:00,08:12:00,112,12,W. Shore Dr. N. of Felch,,,,,,1
1_North_Mall_Area_Weekday_T03,08:14:00,08:14:00,113,13,W. Shore Dr. S. of Riley (Across Belle Tire),,,,,,1
1_North_Mall_Area_Weekday_T03,08:15:00,08:15:00,114,14,W. Shore Dr. N. of Riley (N. End of Meijer),,,,,,1
1_North_Mall_Area_Weekday_T03,08:20:00,08:20:00,115,15,W. Shore Dr. S. of Greenly (N. End of Target),,,,,,1
1_North_Mall_Area_Weekday_T03,08:24:00,08:24:00,116,16,W. Shore Dr. S. of Greenly (AT&T),,,,,,1
1_North_Mall_Area_Weekday_T03,08:24:30,08:24:30,117,17,Laroc Rd. N. of Riley (McDonald's),,,,,,1
1_North_Mall_Area_Weekday_T03,08:25:00,08:25:00,118,18,Laroc Rd. E. of 128th,,,,,,1
1_North_Mall_Area_Weekday_T03,08:26:00,08:26:00,119,19,Bellwood E. of 128th,,,,,,1
1_North_Mall_Area_Weekday_T03,08:28:00,08:28:00,120,20,Beeline S. of Bellwood,,,,,,1
1_North_Mall_Area_Weekday_T03,08:29:00,08:29:00,121,21,Beeline N. of Felch,,,,,,1
1_North_Mall_Area_Weekday_T03,08:30:00,08:30:00,122,22,Felch E. of Beeline (Kragspough Court),,,,,,1
1_North_Mall_Area_Weekday_T03,08:31:00,08:31:00,123,23,Van Ommen Dr. S. of Felch (Discount Tire),,,,,,1
1_North_Mall_Area_Weekday_T03,08:33:00,08:33:00,124,24,Van Ommen Dr. N. of James,,,,,,1
1_North_Mall_Area_Weekday_T03,08:34:00,08:34:00,125,25,N. Park Dr. S. of James (Walmart Auto),,,,,,1
1_North_Mall_Area_Weekday_T03,08:40:00,08:40:00,126,26,N. Park Dr. N. of Lakewood (Am. Medical Response),,,,,,1
1_North_Mall_Area_Weekday_T03,08:41:00,08:41:00,127,27,Lakewood E. of US 31 (Spectrum Health),,,,,,1
1_North_Mall_Area_Weekday_T03,08:43:00,08:43:00,128,28,Chicago Dr. W. of 120th (Craig's Cruisers),,,,,,1
1_North_Mall_Area_Weekday_T03,08:46:00,08:46:00,129,29,Chicago Dr. & Spruce,,,,,,1
1_North_Mall_Area_Weekday_T03,08:47:00,08:47:00,130,30,Transfer Center,,,,,,1
1_North_Mall_Area_Weekday_T03,08:50:00,09:00:00,131,31,,,,,,,1
1_North_Mall_Area_Weekday_T04,09:00:00,09:00:00,101,1,7th E. of Columbia (Freedom Village),,,,,,1
1_North_Mall_Area_Weekday_T04,09:01:00,09:01:00,102,2,7th W. of College,,,,,,1
1_North_Mall_Area_Weekday_T04,09:01:30,09:01:30,103,3,River N. of 7th,,,,,,1
1_North_Mall_Area_Weekday_T04,09:02:00,09:02:00,104,4,Douglas E. of River (D&W Store),,,,,,1
1_North_Mall_Area_Weekday_T04,09:05:00,09:05:00,105,5,Lakewood E. of Douglas (Railside Center),,,,,,1
1_North_Mall_Area_Weekday_T04,09:05:30,09:05:30,106,6,Beeline N. of Lakewood (KFC),,,,,,1
1_North_Mall_Area_Weekday_T04,09:06:00,09:06:00,107,7,Beeline S. of James (Raleigh Woods),,,,,,1
1_North_Mall_Area_Weekday_T04,09:07:00,09:07:00,108,8,James W. of Van Ommen (Windmill Mobile Park),,,,,,1
1_North_Mall_Area_Weekday_T04,09:08:00,09:08:00,109,9,James W. of Van Ommen (Walmart Plaza),,,,,,1
1_North_Mall_Area_Weekday_T04,09:10:00,09:10:00,110,10,Van Ommen Dr. N. of James (Aaron's Rent),,,,,,1
1_North_Mall_Area_Weekday_T04,09:11:00,09:11:00,111,11,Van Ommen Dr. S. of Felch,,,,,,1
1_North_Mall_Area_Weekday_T04,09:12:00,09:12:00,112,12,W. Shore Dr. N. of Felch,,,,,,1
1_North_Mall_Area_Weekday_T04,09:14:00,09:14:00,113,13,W. Shore Dr. S. of Riley (Across Belle Tire),,,,,,1
1_North_Mall_Area_Weekday_T04,09:15:00,09:15:00,114,14,W. Shore Dr. N. of Riley (N. End of Meijer),,,,,,1
1_North_Mall_Area_Weekday_T04,09:20:00,09:20:00,115,15,W. Shore Dr. S. of Greenly (N. End of Target),,,,,,1
1_North_Mall_Area_Weekday_T04,09:24:00,09:24:00,116,16,W. Shore Dr. S. of Greenly (AT&T),,,,,,1
1_North_Mall_Area_Weekday_T04,09:24:30,09:24:30,117,17,Laroc Rd. N. of Riley (McDonald's),,,,,,1
1_North_Mall_Area_Weekday_T04,09:25:00,09:25:00,118,18,Laroc Rd. E. of 128th,,,,,,1
1_North_Mall_Area_Weekday_T04,09:26:00,09:26:00,119,19,Bellwood E. of 128th,,,,,,1
1_North_Mall_Area_Weekday_T04,09:28:00,09:28:00,120,20,Beeline S. of Bellwood,,,,,,1
1_North_Mall_Area_Weekday_T04,09:29:00,09:29:00,121,21,Beeline N. of Felch,,,,,,1
1_North_Mall_Area_Weekday_T04,09:30:00,09:30:00,122,22,Felch E. of Beeline (Kragspough Court),,,,,,1
1_North_Mall_Area_Weekday_T04,09:31:00,09:31:00,123,23,Van Ommen Dr. S. of Felch (Discount Tire),,,,,,1
1_North_Mall_Area_Weekday_T04,09:33:00,09:33:00,124,24,Van Ommen Dr. N. of James,,,,,,1
1_North_Mall_Area_Weekday_T04,09:34:00,09:34:00,125,25,N. Park Dr. S. of James (Walmart Auto),,,,,,1
1_North_Mall_Area_Weekday_T04,09:40:00,09:40:00,126,26,N. Park Dr. N. of Lakewood (Am. Medical Response),,,,,,1
1_North_Mall_Area_Weekday_T04,09:41:00,09:41:00,127,27,Lakewood E. of US 31 (Spectrum Health),,,,,,1
1_North_Mall_Area_Weekday_T04,09:43:00,09:43:00,128,28,Chicago Dr. W. of 120th (Craig's Cruisers),,,,,,1
1_North_Mall_Area_Weekday_T04,09:46:00,09:46:00,129,29,Chicago Dr. & Spruce,,,,,,1
1_North_Mall_Area_Weekday_T04,09:47:00,09:47:00,130,30,Transfer Center,,,,,,1
1_North_Mall_Area_Weekday_T04,09:50:00,10:00:00,131,31,,,,,,,1
1_North_Mall_Area_Weekday_T05,10:00:00,10:00:00,101,1,7th E. of Columbia (Freedom Village),,,,,,1
1_North_Mall_Area_Weekday_T05,10:01:00,10:01:00,102,2,7th W. of College,,,,,,1
1_North_Mall_Area_Weekday_T05,10:01:30,10:01:30,103,3,River N. of 7th,,,,,,1
1_North_Mall_Area_Weekday_T05,10:02:00,10:02:00,104,4,Douglas E. of River (D&W Store),,,,,,1
1_North_Mall_Area_Weekday_T05,10:05:00,10:05:00,105,5,Lakewood E. of Douglas (Railside Center),,,,,,1
1_North_Mall_Area_Weekday_T05,10:05:30,10:05:30,106,6,Beeline N. of Lakewood (KFC),,,,,,1
1_North_Mall_Area_Weekday_T05,10:06:00,10:06:00,107,7,Beeline S. of James (Raleigh Woods),,,,,,1
1_North_Mall_Area_Weekday_T05,10:07:00,10:07:00,108,8,James W. of Van Ommen (Windmill Mobile Park),,,,,,1
1_North_Mall_Area_Weekday_T05,10:08:00,10:08:00,109,9,James W. of Van Ommen (Walmart Plaza),,,,,,1
1_North_Mall_Area_Weekday_T05,10:10:00,10:10:00,110,10,Van Ommen Dr. N. of James (Aaron's Rent),,,,,,1
1_North_Mall_Area_Weekday_T05,10:11:00,10:11:00,111,11,Van Ommen Dr. S. of Felch,,,,,,1
1_North_Mall_Area_Weekday_T05,10:12:00,10:12:00,112,12,W. Shore Dr. N. of Felch,,,,,,1
1_North_Mall_Area_Weekday_T05,10:14:00,10:14:00,113,13,W. Shore Dr. S. of Riley (Across Belle Tire),,,,,,1
1_North_Mall_Area_Weekday_T05,10:15:00,10:15:00,114,14,W. Shore Dr. N. of Riley (N. End of Meijer),,,,,,1
1_North_Mall_Area_Weekday_T05,10:20:00,10:20:00,115,15,W. Shore Dr. S. of Greenly (N. End of Target),,,,,,1
1_North_Mall_Area_Weekday_T05,10:24:00,10:24:00,116,16,W. Shore Dr. S. of Greenly (AT&T),,,,,,1
1_North_Mall_Area_Weekday_T05,10:24:30,10:24:30,117,17,Laroc Rd. N. of Riley (McDonald's),,,,,,1
1_North_Mall_Area_Weekday_T05,10:25:00,10:25:00,118,18,Laroc Rd. E. of 128th,,,,,,1
1_North_Mall_Area_Weekday_T05,10:26:00,10:26:00,119,19,Bellwood E. of 128th,,,,,,1
1_North_Mall_Area_Weekday_T05,10:28:00,10:28:00,120,20,Beeline S. of Bellwood,,,,,,1
1_North_Mall_Area_Weekday_T05,10:29:00,10:29:00,121,21,Beeline N. of Felch,,,,,,1
1_North_Mall_Area_Weekday_T05,10:30:00,10:30:00,122,22,Felch E. of Beeline (Kragspough Court),,,,,,1
1_North_Mall_Area_Weekday_T05,10:31:00,10:31:00,123,23,Van Ommen Dr. S. of Felch (Discount Tire),,,,,,1
1_North_Mall_Area_Weekday_T05,10:33:00,10:33:00,124,24,Van Ommen Dr. N. of James,,,,,,1
1_North_Mall_Area_Weekday_T05,10:34:00,10:34:00,125,25,N. Park Dr. S. of James (Walmart Auto),,,,,,1
1_North_Mall_Area_Weekday_T05,10:40:00,10:40:00,126,26,N. Park Dr. N. of Lakewood (Am. Medical Response),,,,,,1
1_North_Mall_Area_Weekday_T05,10:41:00,10:41:00,127,27,Lakewood E. of US 31 (Spectrum Health),,,,,,1
1_North_Mall_Area_Weekday_T05,10:43:00,10:43:00,128,28,Chicago Dr. W. of 120th (Craig's Cruisers),,,,,,1
1_North_Mall_Area_Weekday_T05,10:46:00,10:46:00,129,29,Chicago Dr. & Spruce,,,,,,1
1_North_Mall_Area_Weekday_T05,10:47:00,10:47:00,130,30,Transfer Center,,,,,,1
1_North_Mall_Area_Weekday_T05,10:50:00,11:00:00,131,31,,,,,,,1
1_North_Mall_Area_Weekday_T06,11:00:00,11:00:00,101,1,7th E. of Columbia (Freedom Village),,,,,,1
1_North_Mall_Area_Weekday_T06,11:01:00,11:01:00,102,2,7th W. of College,,,,,,1
1_North_Mall_Area_Weekday_T06,11:01:30,11:01:30,103,3,River N. of 7th,,,,,,1
1_North_Mall_Area_Weekday_T06,11:02:00,11:02:00,104,4,Douglas E. of River (D&W Store),,,,,,1
1_North_Mall_Area_Weekday_T06,11:05:00,11:05:00,105,5,Lakewood E. of Douglas (Railside Center),,,,,,1
1_North_Mall_Area_Weekday_T06,11:05:30,11:05:30,106,6,Beeline N. of Lakewood (KFC),,,,,,1
1_North_Mall_Area_Weekday_T06,11:06:00,11:06:00,107,7,Beeline S. of James (Raleigh Woods),,,,,,1
1_North_Mall_Area_Weekday_T06,11:07:00,11:07:00,108,8,James W. of Van Ommen (Windmill Mobile Park),,,,,,1
1_North_Mall_Area_Weekday_T06,11:08:00,11:08:00,109,9,James W. of Van Ommen (Walmart Plaza),,,,,,1
1_North_Mall_Area_Weekday_T06,11:10:00,11:10:00,110,10,Van Ommen Dr. N. of James (Aaron's Rent),,,,,,1
1_North_Mall_Area_Weekday_T06,11:11:00,11:11:00,111,11,Van Ommen Dr. S. of Felch,,,,,,1
1_North_Mall_Area_Weekday_T06,11:12:00,11:12:00,112,12,W. Shore Dr. N. of Felch,,,,,,1
1_North_Mall_Area_Weekday_T06,11:14:00,11:14:00,113,13,W. Shore Dr. S. of Riley (Across Belle Tire),,,,,,1
1_North_Mall_Area_Weekday_T06,11:15:00,11:15:00,114,14,W. Shore Dr. N. of Riley (N. End of Meijer),,,,,,1
1_North_Mall_Area_Weekday_T06,11:20:00,11:20:00,115,15,W. Shore Dr. S. of Greenly (N. End of Target),,,,,,1
1_North_Mall_Area_Weekday_T06,11:24:00,11:24:00,116,16,W. Shore Dr. S. of Greenly (AT&T),,,,,,1
1_North_Mall_Area_Weekday_T06,11:24:30,11:24:30,117,17,Laroc Rd. N. of Riley (McDonald's),,,,,,1
1_North_Mall_Area_Weekday_T06,11:25:00,11:25:00,118,18,Laroc Rd. E. of 128th,,,,,,1
1_North_Mall_Area_Weekday_T06,11:26:00,11:26:00,119,19,Bellwood E. of 128th,,,,,,1
1_North_Mall_Area_Weekday_T06,11:28:00,11:28:00,120,20,Beeline S. of Bellwood,,,,,,1
1_North_Mall_Area_Weekday_T06,11:29:00,11:29:00,121,21,Beeline N. of Felch,,,,,,1
1_North_Mall_Area_Weekday_T06,11:30:00,11:30:00,122,22,Felch E. of Beeline (Kragspough Court),,,,,,1
1_North_Mall_Area_Weekday_T06,11:31:00,11:31:00,123,23,Van Ommen Dr. S. of Felch (Discount Tire),,,,,,1
1_North_Mall_Area_Weekday_T06,11:33:00,11:33:00,124,24,Van Ommen Dr. N. of James,,,,,,1
1_North_Mall_Area_Weekday_T06,11:34:00,11:34:00,125,25,N. Park Dr. S. of James (Walmart Auto),,,,,,1
1_North_Mall_Area_Weekday_T06,11:40:00,11:40:00,126,26,N. Park Dr. N. of Lakewood (Am. Medical Response),,,,,,1
1_North_Mall_Area_Weekday_T06,11:41:00,11:41:00,127,27,Lakewood E. of US 31 (Spectrum Health),,,,,,1
